Radius	Rho	Mass	phi	Temp	Fe	O	Si	Mg	Ni	Ca	Al	S	Cr	Na	P	Mn	C	H	Total	Li
1.500000e-01	2.331916e+00	7.916913e-03	1.758810e+00	6.453981e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.550000e-01	2.329572e+00	8.730049e-03	1.757022e+00	6.429114e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.600000e-01	2.327150e+00	9.596488e-03	1.755177e+00	6.404247e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.650000e-01	2.324652e+00	1.051783e-02	1.753274e+00	6.379379e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.700000e-01	2.322077e+00	1.149568e-02	1.751314e+00	6.354512e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.750000e-01	2.319425e+00	1.253160e-02	1.749296e+00	6.329645e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.800000e-01	2.316697e+00	1.362717e-02	1.747222e+00	6.304778e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.850000e-01	2.313891e+00	1.478394e-02	1.745090e+00	6.279910e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.900000e-01	2.311009e+00	1.600347e-02	1.742902e+00	6.255043e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.950000e-01	2.205386e+00	1.724172e-02	1.740660e+00	6.230176e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.000000e-01	2.202387e+00	1.853119e-02	1.738368e+00	6.205308e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.050000e-01	2.199331e+00	1.988512e-02	1.736027e+00	6.180441e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.100000e-01	2.196218e+00	2.130449e-02	1.733637e+00	6.155574e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.150000e-01	2.193046e+00	2.279144e-02	1.731196e+00	6.130706e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.200000e-01	2.189815e+00	2.434631e-02	1.728706e+00	6.105839e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.250000e-01	2.186524e+00	2.597144e-02	1.726166e+00	6.080972e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.300000e-01	2.183171e+00	2.766765e-02	1.723576e+00	6.056105e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.350000e-01	2.179756e+00	2.943631e-02	1.720936e+00	6.031237e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.400000e-01	2.176278e+00	3.127932e-02	1.718246e+00	6.006370e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.450000e-01	2.172735e+00	3.319719e-02	1.715505e+00	5.981503e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.500000e-01	2.169128e+00	3.519220e-02	1.712715e+00	5.956635e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.550000e-01	2.165454e+00	3.726488e-02	1.709875e+00	5.931768e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.600000e-01	2.161713e+00	3.941663e-02	1.706984e+00	5.906901e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.650000e-01	2.157904e+00	4.164935e-02	1.704044e+00	5.882034e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
